timestamp(ms),Effort w,Recorded X distance,Error x,Effort x,Quadrant,Recorded Y distance,Error y,Prop effort y,Int effort y,Total effort y,Error w,Speed,
"1712991578.426","2",,,,,,,,,,,,
"1712991578.51",,"0","230","294.4","4","0","150","144",,,,,
"1712991578.511","2.4",,,,,,,,"0","144","5","327.74",
"1712991578.561",,"1085.54","-855.54","-1095.1","2","628.7","-478.7","-459.55",,,,,
"1712991578.562",,,,,,,,,"0",,,,
"1712991578.564","2.4",,,,,,,,,"-459.55","5","1187.61",
"1712991578.608","2.4","1035.38","-805.38","-1030.88","3","609.2","-459.2","-440.83","0","-440.83","5","1121.18",
"1712991578.657","2.18","988.72","-758.72","-971.16","3","633.5","-483.5","-464.16","0","-464.16","4.55","1076.38",
"1712991578.704","1.48","946.95","-716.95","-917.7","3","652.71","-502.71","-482.6","0","-482.6","3.09",,
"1712991578.705",,,,,,,,,,,,"1036.86",
"1712991578.751",,"907.62",,,,,,,,,,,
"1712991578.752","0.79",,"-677.62","-867.35","3","671.02","-521.02","-500.18","0","-500.18","1.64","1001.24",
"1712991578.8",,"871.12","-641.12","-820.64","3","688.62",,,,,,,
"1712991578.801","0.11",,,,,,"-538.62","-517.07","0","-517.07","0.24","969.96",
"1712991578.848",,"837.23",,,,,,,,,,,
"1712991578.849",,,"-607.23","-777.26","3","699.92","-549.92","-527.92","0","-527.92","-0.98",,
"1712991578.85","-0.47",,,,,,,,,,,"939.59",
"1712991578.895",,"804.7","-574.7","-735.61","3",,,,,,,,
"1712991578.896","-1.06",,,,,"709.74","-559.74","-537.35","0","-537.35","-2.21","910.97",
"1712991578.941","-1.5","775.36","-545.36","-698.06","3","722.59","-572.59","-549.69","0","-549.69","-3.12",,
"1712991578.942",,,,,,,,,,,,"888.51",
"1712991578.988",,"747.49",,,,,,,,,,,
"1712991578.989","-1.71",,"-517.49","-662.39","3","733.1","-583.1","-559.77","0","-559.77","-3.56","867.24",
"1712991579.036","-1.71","720.17","-490.17","-627.42","3","749.78","-599.78","-575.78","0","-575.78","-3.56","851.58",
"1712991579.084",,"696.17","-466.17","-596.7","3","760.74","-610.74","-586.31",,,,,
"1712991579.085","-1.71",,,,,,,,"0","-586.31","-3.55","836.55",
"1712991579.133",,"672.53","-442.53","-566.44","3","767.59",,,,,,,
"1712991579.134","-1.49",,,,,,"-617.59","-592.89","0","-592.89","-3.11","819.98",
"1712991579.182",,"651.01","-421.01","-538.89","3","770.66","-620.66",,,,,,
"1712991579.183","-0.97",,,,,,,"-595.83","0","-595.83","-2.03","803.38",
"1712991579.23",,"630.45","-400.45","-512.58",,,,,,,,,
"1712991579.231","-0.56",,,,"3","776.62","-626.62","-601.56","0","-601.56","-1.17",,
"1712991579.233",,,,,,,,,,,,"790.32",
"1712991579.279",,"609.26","-379.26","-485.46","3","783.4","-633.4","-608.07","0",,,,
"1712991579.28","-0.08",,,,,,,,,"-608.07","-0.17","778.08",
"1712991579.325",,"591.42",,,,,,,,,,,
"1712991579.326","0.33",,"-361.42","-462.62","3","787.18","-637.18","-611.69","0","-611.69","0.69",,
"1712991579.327",,,,,,,,,,,,"766.93",
"1712991579.374",,"573.38","-343.38","-439.52","3","789.99",,,,,,,
"1712991579.375","0.57",,,,,,"-639.99","-614.39","0","-614.39","1.19","755.42",
"1712991579.422",,"557.72",,,,,,,,,,,
"1712991579.423",,,"-327.72","-419.48","3","796.31","-646.31","-620.45","0","-620.45","1.19",,
"1712991579.424","0.57",,,,,,,,,,,"748.95",
"1712991579.471",,"542.27","-312.27","-399.71",,,,,,,,,
"1712991579.472",,,,,"3","796.61","-646.61","-620.75","0","-620.75",,,
"1712991579.473","0.57",,,,,,,,,,"1.19","738.3",
"1712991579.518",,"527.34","-297.34","-380.59","3","800.49","-650.49","-624.47",,,,,
"1712991579.519","0.43",,,,,,,,"0","-624.47","0.9","731.31",
"1712991579.566",,"514.41","-284.41","-364.04","3","806.08","-656.08","-629.84",,,,,
"1712991579.567","0.16",,,,,,,,"0","-629.84","0.33","727.48",
"1712991579.614",,"500.58",,,,,,,,,,,
"1712991579.615","-0.11",,"-270.58","-346.35","3","806.94","-656.94","-630.66","0","-630.66","-0.23","719.51",
"1712991579.663",,"488.79","-258.79","-331.25","3","807.38","-657.38",,,,,,
"1712991579.664","-0.41",,,,,,,"-631.09","0","-631.09","-0.85","712.74",
"1712991579.711","-0.58","476.55","-246.55","-315.59","3","809.82","-659.82","-633.43","0","-633.43","-1.2","707.69",
"1712991579.76",,"465.18","-235.18","-301.03","3",,,,,,,,
"1712991579.761",,,,,,"809.12","-659.12","-632.75","0","-632.75","-1.2",,
"1712991579.762","-0.58",,,,,,,,,,,"700.71",
"1712991579.809",,"454.84","-224.84","-287.8","3","808.35","-658.35","-632.02","0",,,,
"1712991579.81","-0.58",,,,,,,,,"-632.02","-1.2","694.46",
"1712991579.859",,"444.24","-214.24","-274.22","3","807.62","-657.62",,,,,,
"1712991579.86","-0.53",,,,,,,"-631.32","0","-631.32","-1.09","688.3",
"1712991579.908","-0.33","435.4","-205.4","-262.91","3","806.55","-656.55","-630.29","0","-630.29","-0.68","682.92",
"1712991579.956",,"423.91",,,,,,,,,,,
"1712991579.957","-0.19",,"-193.91","-248.2","3","806.83","-656.83","-630.55","0","-630.55","-0.39","677.64",
"1712991580.004",,"415.78","-185.78","-237.79",,,,,,,,,
"1712991580.005","-0.13",,,,"3","806.25","-656.25","-630","0","-630","-0.28","673.39",
"1712991580.052",,"407.08","-177.08",,,,,,,,,,
"1712991580.053","0",,,"-226.67","3","806.17","-656.17","-629.93","0","-629.93","0","669.47",
"1712991580.101",,"399.03","-169.03","-216.36","3","803.57","-653.57",,,,,,
"1712991580.102","0.01",,,,,,,"-627.42","0","-627.42","0.01","663.68",
"1712991580.15",,"392.08","-162.08","-207.46","3","800.95","-650.95","-624.91","0","-624.91","0.22",,
"1712991580.151","0.1",,,,,,,,,,,"658.45",
